"variable","center","scale"
"z_418",0.0788225379389754,1.22226387042738
"z_419",-0.0105914306519945,0.99664101807785
"z_420",0.0196985237002765,0.928268873216435
"z_421",-0.0146975115620714,1.26620825651186
"z_422",-0.0337953290849727,1.1347791979864
"z_423",0.0265258219936441,1.11185694782445
"z_424",-0.018029242303233,1.0517725477555
"z_425",-0.0332627495155288,1.12119539210221
"z_426",-0.00418829704906216,1.14014970977717
"z_427",0.123382720418909,1.45486780316403
"z_428",-0.0590008240236973,1.12606889499631
"z_429",-0.0368629170497427,1.14035388403055
"z_430",-0.0120739893451623,1.34673641154775
"z_431",-0.00496387595879775,1.36999128351619
"z_432",0.0142163385552307,1.14363895629692
"z_433",-0.0490297525434222,1.17943365524662
"z_434",-0.0738976208601447,1.13412068325014
"z_435",-0.0830717075364218,1.11549010181594
"z_436",-0.0089511102747116,1.01914261650577
"z_437",0.0138777470700796,1.28085523880826
"z_438",0.0887793724045298,1.10813159492669
"z_439",0.0575660253346774,1.150977435566
"z_440",-0.080628772692582,1.15169272904884
"z_441",-0.0376262866031744,1.38421264012933
"z_442",0.00524740084036612,1.20829581863539
"z_443",-0.0317829777595729,1.24322540860793
"z_444",-0.0882581983030874,1.05825168791102
"z_445",-0.10075164407038,1.2762580506736
"z_446",-0.0348829857326132,1.01223150123665
"z_447",0.047075447666356,1.11025519827036
"z_448",0.00102318380785964,1.02524196350145
"z_449",0.0796068687008204,1.30057872346321
"z_450",0.0253106357609849,1.33093665058118
"z_451",0.00257122815953823,0.985940001597605
"z_452",0.0319189277150983,1.04929646058639
"z_453",-0.0266485115663635,1.15209488695245
"z_454",-0.028470306682909,1.24970964992269
"z_455",-0.0449255408787168,1.10563216803129
"z_456",0.0320664157144563,1.16771586958469
"z_457",0.00996863916159228,1.0999214218721
"z_458",0.0338793483391055,1.20140652948464
"z_459",0.044035785807416,1.17785967025854
"z_460",0.0591537614978414,1.09244860937434
"z_461",0.0664649003625221,1.13559955493762
"z_462",-0.0449629659095741,0.986397083647385
"z_463",-0.0355859133194189,1.09953455302675
"z_464",0.0437001010277354,1.06867185847922
"z_465",0.00854312917419686,1.18947749515238
"z_466",0.00788019669850006,0.93272340883349
"z_467",-0.0730365837121501,1.15506502398176
"z_468",0.0944267536604525,1.05712305286918
"z_469",0.0325337810340109,1.02462701338311
"z_470",-0.0223004098948895,1.07518945250193
"z_471",0.025303551773989,0.998037679581895
"z_472",0.0586215208315725,1.22700224090094
"z_473",-0.139507145014761,1.07833255220837
"z_474",-0.0315851449151813,1.22751602970055
"z_475",-0.059517316525123,1.04740670428991
"z_476",-0.0143700719095963,1.19699880135503
"z_477",-0.0312909993599498,1.04532045417657
"z_478",-0.014852221923193,1.12089639052866
"z_479",-0.0159103414805344,1.12185825916841
"z_480",0.057144540262368,1.18471378209704
"z_481",0.0373932332551732,1.01817190002535
"z_482",0.0406800995478403,1.0963209344287
"z_483",-0.0168453652013839,1.12033113677728
"z_484",-0.0666695794938701,1.18904205280834
"z_485",0.00389083667762736,1.11432403198079
"z_486",0.00728676154969608,1.30539605417058
"z_487",0.0164701247321817,1.10572919706174
"z_488",-0.0240724593530202,1.11826369922729
"z_489",-0.0018938337135477,1.24890441035818
"z_490",0.07761585764804,1.08679925777
"z_491",0.0135814308477442,0.962773488719499
"z_492",0.116699004289937,1.18006255417978
"z_493",0.0596455919585135,0.991915055917717
"z_494",-0.00662634048436658,1.13370960995503
"z_495",0.0121555910701789,0.958416520906081
"z_496",0.00293009473664057,1.17444125588808
"z_497",-0.0466419220636236,1.14514292117504
"z_498",-0.0141190218926256,1.1554914533026
"z_499",-0.0365154888081999,1.14262320572914
"z_500",0.00563522955186402,1.04740331653498
"z_501",-0.00507887366355808,1.47009569531322
"z_502",0.0572000843341616,1.21980300635933
"z_503",0.0817886693625373,1.2883818213937
"z_504",-0.113351024483132,0.995646229017073
"z_505",0.0577685053874468,1.23124246465266
"z_506",0.0361656834611759,1.26656706133652
"z_507",-0.0142707902727782,1.16427719542403
"z_508",-0.0200623426996724,1.06546492766667
"z_509",-0.044506122584863,1.16426985696872
"z_510",-0.0229612853310442,1.26717143799708
"z_511",-0.0536114068146345,1.25080711506453
